isoform	chrom	junction_number	genomic_start_coord	genomic_end_coord	junction_category
TCONS_00011412	chr12	junction_1	56343532	56343824	known
TCONS_00011412	chr12	junction_2	56344136	56346145	known
TCONS_00011412	chr12	junction_3	56346204	56346441	known
TCONS_00011412	chr12	junction_4	56346625	56346818	known
TCONS_00011412	chr12	junction_5	56346956	56348528	known
TCONS_00011412	chr12	junction_6	56348624	56348751	known
TCONS_00011412	chr12	junction_7	56348805	56348923	known
TCONS_00011412	chr12	junction_8	56349030	56349162	known
TCONS_00011412	chr12	junction_9	56349262	56349425	known
TCONS_00011412	chr12	junction_10	56349510	56349588	known
TCONS_00011412	chr12	junction_11	56349637	56350096	known
TCONS_00011412	chr12	junction_12	56350205	56350825	novel
TCONS_00011412	chr12	junction_13	56350889	56351097	known
TCONS_00011412	chr12	junction_14	56351191	56351291	known
TCONS_00011412	chr12	junction_15	56351451	56354465	known
TCONS_00011412	chr12	junction_16	56354615	56354777	known
TCONS_00011412	chr12	junction_17	56354864	56355275	known
TCONS_00011412	chr12	junction_18	56355352	56355442	known
TCONS_00011412	chr12	junction_19	56355533	56355707	known
TCONS_00011412	chr12	junction_20	56355804	56356131	known
TCONS_00011412	chr12	junction_21	56356286	56356440	known
TCONS_00011412	chr12	junction_22	56356579	56360057	known
TCONS_00012381	chr12	junction_1	121308692	121309700	known
TCONS_00012381	chr12	junction_2	121309864	121309969	known
TCONS_00012381	chr12	junction_3	121310012	121318276	known
TCONS_00012381	chr12	junction_4	121318425	121318500	known
TCONS_00012381	chr12	junction_5	121318609	121319696	known
TCONS_00012381	chr12	junction_6	121319819	121320384	known
TCONS_00012381	chr12	junction_7	121320460	121327095	known
TCONS_00012381	chr12	junction_8	121328459	121330582	known
TCONS_00012381	chr12	junction_9	121330673	121331346	known
TCONS_00012381	chr12	junction_10	121331429	121335532	known
TCONS_00012381	chr12	junction_11	121335724	121337290	known
TCONS_00012381	chr12	junction_12	121337393	121342002	known
TCONS_00012381	chr12	junction_13	121342070	121345838	known
TCONS_00012381	chr12	junction_14	121347006	121347801	known
TCONS_00012381	chr12	junction_15	121347882	121352133	known
TCONS_00013794	chr13	junction_1	95860884	95863628	known
TCONS_00013794	chr13	junction_2	95863715	95867338	known
TCONS_00013794	chr13	junction_3	95867424	95877278	known
TCONS_00013794	chr13	junction_4	95877365	95877697	known
TCONS_00013794	chr13	junction_5	95877857	95884490	known
TCONS_00013794	chr13	junction_6	95884681	95887891	known
TCONS_00013794	chr13	junction_7	95887972	95890861	known
TCONS_00013794	chr13	junction_8	95890965	95894561	known
TCONS_00013794	chr13	junction_9	95894658	95895179	known
TCONS_00013794	chr13	junction_10	95895305	95900806	known
TCONS_00013794	chr13	junction_11	95900939	95902853	known
TCONS_00013794	chr13	junction_12	95903061	95925679	known
TCONS_00013794	chr13	junction_13	95925775	95927027	known
TCONS_00013794	chr13	junction_14	95927127	95927212	known
TCONS_00013794	chr13	junction_15	95927337	95936923	known
TCONS_00013794	chr13	junction_16	95937089	95939956	known
TCONS_00013794	chr13	junction_17	95940092	95947036	known
TCONS_00013794	chr13	junction_18	95947173	95947995	known
TCONS_00013794	chr13	junction_19	95948082	95949334	known
TCONS_00013794	chr13	junction_20	95949455	95970111	known
TCONS_00013794	chr13	junction_21	95970263	95972579	known
TCONS_00013794	chr13	junction_22	95972672	95983803	known
TCONS_00013794	chr13	junction_23	95983865	95986332	known
TCONS_00013794	chr13	junction_24	95986433	95989972	known
TCONS_00013794	chr13	junction_25	95990074	95996062	known
TCONS_00013794	chr13	junction_26	95996136	95999210	known
TCONS_00013794	chr13	junction_27	95999308	96013306	known
TCONS_00013794	chr13	junction_28	96013482	96023039	known
TCONS_00013794	chr13	junction_29	96023153	96023628	known
TCONS_00013794	chr13	junction_30	96023760	96031888	known
TCONS_00013794	chr13	junction_31	96031972	96053154	known
TCONS_00014498	chr14	junction_1	101964948	101975711	known
TCONS_00014498	chr14	junction_2	101975800	101979318	known
TCONS_00014498	chr14	junction_3	101979493	101979718	known
TCONS_00014498	chr14	junction_4	101979975	101980363	known
TCONS_00014498	chr14	junction_5	101980551	101983018	known
TCONS_00014498	chr14	junction_6	101983291	101983381	known
TCONS_00014498	chr14	junction_7	101983610	101985686	known
TCONS_00014498	chr14	junction_8	101986764	101987452	known
TCONS_00014498	chr14	junction_9	101987633	101988702	known
TCONS_00014498	chr14	junction_10	101988853	101991526	known
TCONS_00014498	chr14	junction_11	101991674	101994183	known
TCONS_00014498	chr14	junction_12	101994325	101994672	known
TCONS_00014498	chr14	junction_13	101994850	101994985	known
TCONS_00014498	chr14	junction_14	101995097	101995180	known
TCONS_00014498	chr14	junction_15	101995301	101997034	known
TCONS_00014498	chr14	junction_16	101997275	101999988	known
TCONS_00014498	chr14	junction_17	102000145	102000285	known
TCONS_00014498	chr14	junction_18	102000400	102000953	known
TCONS_00014498	chr14	junction_19	102001065	102001144	known
TCONS_00014498	chr14	junction_20	102001355	102001534	known
TCONS_00014498	chr14	junction_21	102001682	102002536	known
TCONS_00014498	chr14	junction_22	102002704	102002791	known
TCONS_00014498	chr14	junction_23	102002966	102004517	known
TCONS_00014498	chr14	junction_24	102004684	102004761	known
TCONS_00014498	chr14	junction_25	102004951	102005041	known
TCONS_00014498	chr14	junction_26	102005237	102005887	known
TCONS_00014498	chr14	junction_27	102006171	102007007	known
TCONS_00014498	chr14	junction_28	102007109	102008177	known
TCONS_00014498	chr14	junction_29	102008338	102009842	known
TCONS_00014498	chr14	junction_30	102010087	102010275	known
TCONS_00015458	chr15	junction_1	74541331	74543859	known
TCONS_00015458	chr15	junction_2	74544489	74572861	known
TCONS_00015458	chr15	junction_3	74572934	74573131	known
TCONS_00015458	chr15	junction_4	74573205	74589819	known
TCONS_00015458	chr15	junction_5	74590004	74591150	known
TCONS_00015458	chr15	junction_6	74591435	74591559	known
TCONS_00015458	chr15	junction_7	74591815	74593137	known
TCONS_00015458	chr15	junction_8	74593237	74595610	known
TCONS_00015724	chr15	junction_1	89316828	89317375	known
TCONS_00015724	chr15	junction_2	89317537	89318540	known
TCONS_00015724	chr15	junction_3	89318750	89318930	known
TCONS_00015724	chr15	junction_4	89319100	89319227	known
TCONS_00015724	chr15	junction_5	89319351	89320765	known
TCONS_00015724	chr15	junction_6	89321013	89321124	known
TCONS_00015724	chr15	junction_7	89321261	89321735	known
TCONS_00015724	chr15	junction_8	89321854	89321961	known
TCONS_00015724	chr15	junction_9	89322016	89322741	known
TCONS_00015724	chr15	junction_10	89322903	89323403	known
TCONS_00015724	chr15	junction_11	89323512	89323814	known
TCONS_00015724	chr15	junction_12	89323902	89324106	known
TCONS_00015724	chr15	junction_13	89324228	89325449	known
TCONS_00015724	chr15	junction_14	89325687	89326611	known
TCONS_00015724	chr15	junction_15	89326739	89326911	known
TCONS_00015724	chr15	junction_16	89327064	89327166	known
TCONS_00015724	chr15	junction_17	89327350	89328455	known
TCONS_00015724	chr15	junction_18	89328536	89328684	known
TCONS_00015724	chr15	junction_19	89328832	89328942	known
TCONS_00015724	chr15	junction_20	89329111	89330080	known
TCONS_00015724	chr15	junction_21	89330277	89333095	known
TCONS_00015724	chr15	junction_22	89333914	89334672	known
TCONS_00022126	chr17	junction_1	43094861	43095845	known
TCONS_00022126	chr17	junction_2	43095923	43097243	known
TCONS_00022126	chr17	junction_3	43097290	43099774	known
TCONS_00022126	chr17	junction_4	43099881	43104121	known
TCONS_00022126	chr17	junction_5	43104262	43104867	known
TCONS_00022126	chr17	junction_6	43104957	43106477	known
TCONS_00022126	chr17	junction_7	43106534	43115725	known
TCONS_00022126	chr17	junction_8	43115780	43124016	known
TCONS_00022126	chr17	junction_9	43124116	43125270	known
TCONS_00025587	chr19	junction_1	17075875	17101659	known
TCONS_00025587	chr19	junction_2	17102558	17145396	known
TCONS_00025587	chr19	junction_3	17145492	17152643	known
TCONS_00025587	chr19	junction_4	17152707	17153966	known
TCONS_00025587	chr19	junction_5	17154067	17154314	known
TCONS_00025587	chr19	junction_6	17154416	17156908	known
TCONS_00025587	chr19	junction_7	17157039	17159394	known
TCONS_00025587	chr19	junction_8	17159485	17162349	known
TCONS_00025587	chr19	junction_9	17162467	17162987	known
TCONS_00025587	chr19	junction_10	17163123	17167942	known
TCONS_00025587	chr19	junction_11	17168065	17172335	known
TCONS_00025587	chr19	junction_12	17172478	17172758	known
TCONS_00025587	chr19	junction_13	17172964	17175662	known
TCONS_00025587	chr19	junction_14	17175742	17180926	known
TCONS_00025587	chr19	junction_15	17181041	17183828	known
