isoform,junction_num,genomic_start_coord,genomic_end_coord,tumor1,tumor2,tumor3,tumor4,control1,control2,control3,tumor1_cpm,tumor2_cpm,tumor3_cpm,tumor4_cpm,control1_cpm,control2_cpm,control3_cpm
TCONS_00011412,junction_12,56350205,56350825,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
TCONS_00025073,junction_14,41305739,41306810,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
TCONS_00028608,junction_7,74365658,74365886,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
TCONS_00027031,junction_15,151441968,151443258,24,0,14,17,1,19,3,1.5991419004562153,0.0,0.326275938179659,1.7123567084797315,0.015058168197931791,1.429800842288151,0.04089420913462128
TCONS_00031582,junction_6,4790612,4792532,7,0,0,4,0,0,0,0.46641638763306276,0.0,0.0,0.40290746081876033,0.0,0.0,0.0
TCONS_00031582,junction_11,4822404,4823314,31,3,17,24,0,0,0,2.065558288089278,0.13217134164044902,0.39619221064672877,2.417444764912562,0.0,0.0,0.0
TCONS_00030544,junction_1,37346256,37347117,5,2,18,1,37,3,33,0.33315456259504483,0.08811422776029934,0.4194976348024187,0.10072686520469008,0.5571522233234762,0.22575802772970804,0.4498363004808341
TCONS_00030544,junction_2,37347237,37365203,23,3,34,1,34,1,33,1.5325109879372063,0.13217134164044902,0.7923844212934575,0.10072686520469008,0.5119777187296809,0.07525267590990269,0.4498363004808341
TCONS_00030544,junction_3,37365278,37382615,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
TCONS_00033499,junction_12,36935688,36937376,0,8,0,106,0,0,0,0.0,0.35245691104119736,0.0,10.67704771169715,0.0,0.0,0.0
TCONS_00041658,junction_13,24875818,24981312,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
TCONS_00041658,junction_14,24981349,25004367,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
TCONS_00043161,junction_1,10118,10225,0,0,0,0,2,0,3,0.0,0.0,0.0,0.0,0.030116336395863582,0.0,0.04089420913462128
TCONS_00043161,junction_2,10344,11065,0,0,10,0,9,0,3,0.0,0.0,0.23305424155689927,0.0,0.1355235137813861,0.0,0.04089420913462128
TCONS_00043161,junction_3,11268,12156,0,0,0,0,2,0,0,0.0,0.0,0.0,0.0,0.030116336395863582,0.0,0.0
TCONS_00043161,junction_4,12374,12491,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
TCONS_00043161,junction_5,12662,12806,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
TCONS_00043161,junction_6,12938,13475,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
TCONS_00043161,junction_7,13537,15476,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
TCONS_00043161,junction_8,15735,15966,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
TCONS_00043161,junction_9,16028,16749,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
TCONS_00043161,junction_10,17047,17323,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
TCONS_00044592,junction_2,66077396,66080357,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
TCONS_00045008,junction_1,139451254,139452239,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
TCONS_00046460,junction_6,100952129,100952849,25,4,30,1,3,5,19,1.665772812975224,0.17622845552059868,0.6991627246706978,0.10072686520469008,0.04517450459379537,0.3762633795495134,0.25899665785260145
TCONS_00049141,junction_7,3937190,4035837,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
TCONS_00049286,junction_1,137205913,137206229,0,1,2,1,2,2,2,0.0,0.04405711388014967,0.046610848311379856,0.10072686520469008,0.030116336395863582,0.15050535181980537,0.027262806089747522
